downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
parcutg,``integer``,"1 for LRDMC, otherwise 0","Use parcutg=1. parcutg=0 for standard LRDMC with no cutoff (energy unbounded), but it now works.","Use parcutg=1. parcutg=0 for standard LRDMC with no cutoff (energy unbounded), but it now works.",None,"datasfn.input:

.. code-block:: text

    !parcutg=1     ! Default is the right choice, parcutg=2 for cusp (all electrons),
                     parcutg=1 all pseudo smooth
","datasfn.README:

.. code-block:: text

    parcutg (integer)  (default =1  a much better  choice so far tested for LRDMC,
     larger pacrutg should correspond to even better choices but still to be tested).

    parcutg=0  vpotr=vpota.

    It is well defined only when the FN approximation
    is employed otherwise the effective potential V^a is unbounded
    from below and the lattice regularization is ill defined.
    Therefore do not use parcutg=0 for sampling the sign.
    The exact energy will be -infty for any a>0.

    abs(parcutg)=1  vpotr=max(vpotc,vpota,-costtmu)

    only when the
    wavefunction changes by displacing one electron by means
    of the shorter lattice space of length a (alat).
    Otherwise vpotr=vpota.
    The error is always order a^2 within LRDMC.
    costtmu= sum_neighbor_lrdmc  1/a_mu^2
    Thus the ground state energy of H^a is bounded from below.
    Otherwise it is not guaranteed.

    abs(parcutg)=2  vpotr=max(vpotcreg,vpota)

    only when the wavefunction changes by displacing one electron by means
    of the shorter lattice space of length a (alat).
    Otherwise vpotr=vpota.
    vpotcreg = Coulomb potential with the electron-ion
    contribution regularized with  minimum el-ion distance r:
    r--> Max( r, alat ) if Z_sing>0.
    Z_sing is the singular part of the total Coulomb and
    local part of the pseudo diverging as -Z_sing/r.
    In particular when the local part of the pseudo cancels
    the Coulomb singularity Z_sing=0 and :math:`|parcutg| = 2` is equivalent
    to :math:`|parcutg| = 1`.
    The error is always order a^2 within LRDMC.
    Thus the ground state energy of H^a is bounded from below.
    Otherwise it is not guaranteed.


    parcutg<0

    Same as abs(parcutg), but choose a linear approximation in
    time  for time integrated averages and weight updates.
    This should reduce statistical fluctuation at a cost of
    a small bias that however vanishes also as alat^2
    (so it should be worth for SR or release nodes).
    Not recommended (bad performances and no control a->0).

    cutreg The cutoff acting as above when :math:`|parcutg| = 2`, can be scaled:
    alat--> alat*cutreg (Default cutreg=1).
    i.e. the minimum e-i distance is Max( r, cutreg x alat )
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_61,"read_datas.f90:265, 277, 282, 322 -- 333, 919 -- 939",
novar,``integer``,"- ``0`` or ``-1`` if no input

- ignore input

  + ``0`` if parcutg == 0
  + ``0`` if parcutg /= 0 and itestr /= -6 and itestr4 /= -7 and itestr4 >= -20
","unclear, used for evaluating local energies in the subroutines updiag/updiag_complex compute the local energy both diagonal and off-diagonal part. Regularization of the Coulomb potential is also computed.","unclear, used for evaluating local energies in the subroutines updiag/updiag_complex compute the local energy both diagonal and off-diagonal part. Regularization of the Coulomb potential is also computed.",None,"datasfn.input:

.. code-block:: text

    !novar=0       ! Growth estimator = <H^a>, integrated energy = <H> mixed average
","datasfn.README:

.. code-block:: text

    novar (integer) (default novar=0, the most straightforward estimate)

    novar=0  the local energy with the wave function wft  defined above refers to  the continuous Hamiltonian H.
    novar=1  regularized Hamiltonian H^a for parcutg=0  novar=1 has no effect.
    novar=2   The local energy is chosen to be the average between the above two choices.This looks to optimize the a-->0 error in system with PBC (empirical), otherwise it looks always better novar=0. Not recommended just a fit that works sometimes.
    novar=3   The local energy of the guiding function is used if epscutdmc>0.
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_62,"read_datas.f90:267, 277, 281, 919 -- 939",
epscutdmc,``real*8``,``0.d0``,regularization used in a DMC calculation. the detail is under investigation.,regularization used in a DMC calculation. the detail is under investigation.,None,"datasfn.input:

.. code-block:: text

    !epscutdmc=0  ! Cutoff in the Guiding function close to nodes. Non zero if
                    release nodes are required.
","datasfn.README

.. code-block:: text

    epscutdmc (real*8) input if non zero then typereg (default=0) is also used and:

    The LRDMC hamiltonian H^a is defined as before but a guiding function wfb is
    used to sample  the region where  the fermion wave function vanishes:
    The trial function wf=Dx J that defines the LRDMC Hamiltonian is the product
    of a Determinant D times a Jastrow factor J, that never vanishes,
    whereas the guiding function wfg is defined as follows:

    typereg=0,2,4,...

     wfg= D xJ                          if log(:math:`|D|`) > epscutdmc
     wfg= exp(epscutdmc) Sign(D) xJ           otherwise

    typereg=1,3,5,...

     wfg= D xJ                          if log(:math:`|D|` J) > epscutdmc
     wfg= exp(epscutdmc) Sign(D)           otherwise

    A relevant choice of epscutdmc can be guessed by looking to the
    final output average log Det is reported.
    epscutdmc can be safely chosen < log Det> -2 sigma.

    %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_63,read_datas.f90:268,
typereg,``integer``,``0``,"How to deal with the spin-flip term, 0: Standard (Det. + Jas.), 6: only Det.","How to deal with the spin-flip term, 0: Standard (Det. + Jas.), 6: only Det.",None,None,"datasfn.README:

.. code-block:: text

    %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

    epscutdmc (real*8) input if non zero then typereg (default=0) is also used and:

    The LRDMC hamiltonian H^a is defined as before but a guiding function wfb is
    used to sample  the region where  the fermion wave function vanishes:
    The trial function wf=Dx J that defines the LRDMC Hamiltonian is the product
    of a Determinant D times a Jastrow factor J, that never vanishes,
    whereas the guiding function wfg is defined as follows:

    typereg=0,2,4,...

     wfg= D xJ                          if log(:math:`|D|`) > epscutdmc
     wfg= exp(epscutdmc) Sign(D) xJ           otherwise

    typereg=1,3,5,...

     wfg= D xJ                          if log(:math:`|D|` J) > epscutdmc
     wfg= exp(epscutdmc) Sign(D)           otherwise

    A relevant choice of epscutdmc can be guessed by looking to the
    final output average log Det is reported.
    epscutdmc can be safely chosen < log Det> -2 sigma.

    %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_64,read_datas.f90:233,
epstldmc,``real*8``,"- if no input

  + if itest == 1 or itestr4 == -7

    - ``0.d0`` if epscutdmc /= 0.d0
    - ``0.d0`` if epscutdmc == 0.d0 (ignore input)
    - ``-1.d0`` otherwise
","psidetln(j) is smaller than epstldmc, then kill the walker.","psidetln(j) is smaller than epstldmc, then kill the walker.",None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_65,"read_datas.f90:269, 277, 283, 335 -- 340",
rejweight,``logical``,"- if no input

  + ``.true.`` if itest == 1 or itestr4 == -7

- ignore input

  + ``.false.`` if (itest == 1 or itestr4 == -7) and itestr == -3",rejecting or rescaling the weights according to the acceptance/rejection step) in standard dmc or non local dmc with heat bath after all electron diffusion rejecting or rescaling the weights according to acceptance should be the best choice. In non local dmc with heat bath after single particle diffusion the best choice is not to reject the weights.,rejecting or rescaling the weights according to the acceptance/rejection step) in standard dmc or non local dmc with heat bath after all electron diffusion rejecting or rescaling the weights according to acceptance should be the best choice. In non local dmc with heat bath after single particle diffusion the best choice is not to reject the weights.,None,"datasdmc.input:

.. code-block:: text

    !rejweight=.true.  ! option to switch on/off the rejection of the weights after
                         a rejection in the diffusion
                         (optimal default .false. for itestr4=-3, .true. otherwise)
",None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_66,"read_datas.f90:277, 284, 297",
cutreg,``real*8``,automatic,DMC cutoff on local energy (Ry).,DMC cutoff on local energy (Ry).,None,None,"datasfn.README:

.. code-block:: text

    cutreg The cutoff acting as above when :math:`|parcutg| = 2`, can be scaled:
    alat--> alat*cutreg (Default cutreg=1).
    i.e. the minimum e-i distance is Max( r, cutreg x alat )
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_67,"read_datas.f90:277, 285, 879 -- 895, 941 -- 949",
cutweight,``real*8``,automatic,"regularization parameter in eq.4 of S. Pathak and L.K. Wagner [AIP Advances 10, 085213 (2020)]","regularization parameter in eq.4 of S. Pathak and L.K. Wagner [AIP Advances 10, 085213 (2020)]",None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_68,"read_datas.f90:232, 2472 -- 2494",
better_dmc,``logical``,"- ``.true.`` if itest == 1 or itestr4 == -7
",unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_69,"read_datas.f90:277, 288",
yesalfe,``logical``,"- if itest == 1 or itestr4 == -7

  + ``.false.`` itestr == -3
  + ``.true.`` itestr /= -3
",unclear,unclear,None,None,,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_70,"read_datas.f90:277, 291, 295",
safelrdmc,``logical``,``.false.``,unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_71,read_datas.f90:296,
changelambda,``logical``,"- ``.true.`` if itest == 1 or itestr4 == -7
- ``.false.`` otherwise
",unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_72,"read_datas.f90:270, 277, 292",
noblocking,``logical``,- ``.false.`` if itest == 1 or itestr4 == -7,unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_73,"read_datas.f90:277, 293",
add_diff,``logical``,``.true.``,unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_74,read_datas.f90:276,
nbra_cyrus,``integer``,- ``0`` if itest == 1 or itestr4 == -7,"A parameter to compute forces using the practical scheme developed by S. Moroni et al. (originally devised by Cyrus Umrigar), corresponding n in Eqs. 12 and 13 of the paper [J. Chem. Theory Comput. 2014, 10, 11, 4823–4829]","A parameter to compute forces using the practical scheme developed by S. Moroni et al. (originally devised by Cyrus Umrigar), corresponding n in Eqs. 12 and 13 of the paper [J. Chem. Theory Comput. 2014, 10, 11, 4823–4829]",None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_75,"read_datas.f90:232, 2472 -- 2494",
lrdmc_der,``logical``,``.false.``,unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_76,read_datas.f90:271,
lrdmc_nonodes,``logical``,``.false.``,unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_77,read_datas.f90:272,
enforce_detailb,``logical``,``.false.``,the detailed-balance,the detailed-balance,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_78,read_datas.f90:273,
iesrandoma,``logical``,"- ``.true.`` if no input
- ignore input

  - ``.true.`` if enforce_detailb is .true. or alat < 0.d0
",flag to randomize the direction of the electron’s diffusion.,flag to randomize the direction of the electron’s diffusion.,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_79,"read_datas.f90:274, 2246 -- 2249",
zmin,``real*8``,- ``0.d0`` if itest == 1 or itestr4 == -7,the minimum effective Z for which the double-grid LRDMC is applied.,the minimum effective Z for which the double-grid LRDMC is applied.,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_80,"read_datas.f90:277, 298",
yes_fastbranch,``logical``,- ``.false.`` if itest == 1 or itestr4 == -7,unclear,unclear,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_81,"read_datas.f90:277, 305",
l0_kousuke,``real*8``,"- ``2.d0`` if itest == 1 or itestr4 == -7
","a parameter for the double-grid LRDMC. See “l” in the Eq.6 of the paper (Phys. Rev. B 101, 155106 (2020)).","a parameter for the double-grid LRDMC. See “l” in the Eq.6 of the paper (Phys. Rev. B 101, 155106 (2020)).",None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_82,"read_datas.f90:277, 306",
